1,이길명,1,1,1
2,김수석,1,1,2
3,김수재,1,1,3
4,박현현,1,1,4
5,정명재,1,1,5
6,김동수,1,1,6
7,정명길,1,1,7
8,정명현,1,1,8
9,김재명,1,1,9
10,김명재,1,1,10
11,정명길,1,2,1
12,이현길,1,2,2
13,이수석,1,2,3
14,정명명,1,2,4
15,정석길,1,2,5
16,김수길,1,2,6
17,박수진,1,2,7
18,정진현,1,2,8
19,이재동,1,2,9
20,이석길,1,2,10
21,김현길,1,3,1
22,박현현,1,3,2
23,박수동,1,3,3
24,이석길,1,3,4
25,최수동,1,3,5
26,김명명,1,3,6
27,김수길,1,3,7
28,최석현,1,3,8
29,박수석,1,3,9
30,박석길,1,3,10
31,박진석,1,4,1
32,박길수,1,4,2
33,최진길,1,4,3
34,김수재,1,4,4
35,정석석,1,4,5
36,박진동,1,4,6
37,김길석,1,4,7
38,이길명,1,4,8
39,정길수,1,4,9
40,박동길,1,4,10
41,최재길,1,5,1
42,정길명,1,5,2
43,정석재,1,5,3
44,이길수,1,5,4
45,정석명,1,5,5
46,김길재,1,5,6
47,김진석,1,5,7
48,박현수,1,5,8
49,김수명,1,5,9
50,이동길,1,5,10
51,최수수,2,1,1
52,최석재,2,1,2
53,김길길,2,1,3
54,최수재,2,1,4
55,이동동,2,1,5
56,박진재,2,1,6
57,박길동,2,1,7
58,김명석,2,1,8
59,김석재,2,1,9
60,박수명,2,1,10
61,이진현,2,2,1
62,김동현,2,2,2
63,이동재,2,2,3
64,정명동,2,2,4
65,박석진,2,2,5
66,박길길,2,2,6
67,이진진,2,2,7
68,박석현,2,2,8
69,정석동,2,2,9
70,이재동,2,2,10
71,최석수,2,3,1
72,최현진,2,3,2
73,김현현,2,3,3
74,정현명,2,3,4
75,최길현,2,3,5
76,최현진,2,3,6
77,이재석,2,3,7
78,이동길,2,3,8
79,정진수,2,3,9
80,김재현,2,3,10
81,박명진,2,4,1
82,정현진,2,4,2
83,최동현,2,4,3
84,이동진,2,4,4
85,박현동,2,4,5
86,박재재,2,4,6
87,정동현,2,4,7
88,최석수,2,4,8
89,최수현,2,4,9
90,정명길,2,4,10
91,정길명,2,5,1
92,최수수,2,5,2
93,최재수,2,5,3
94,박수길,2,5,4
95,김명명,2,5,5
96,김동수,2,5,6
97,정동현,2,5,7
98,정길현,2,5,8
99,박동동,2,5,9
100,김재석,2,5,10
101,박현길,3,1,1
102,최석재,3,1,2
103,이진석,3,1,3
104,김명명,3,1,4
105,김수길,3,1,5
106,정수명,3,1,6
107,이현진,3,1,7
108,김진명,3,1,8
109,김동동,3,1,9
110,최석석,3,1,10
111,최동동,3,2,1
112,최진명,3,2,2
113,이재재,3,2,3
114,김명길,3,2,4
115,박진진,3,2,5
116,최석명,3,2,6
117,김길동,3,2,7
118,최명명,3,2,8
119,김수동,3,2,9
120,정길재,3,2,10
121,김재명,3,3,1
122,최동진,3,3,2
123,최명재,3,3,3
124,박진현,3,3,4
125,김명현,3,3,5
126,최길현,3,3,6
127,정수동,3,3,7
128,정수현,3,3,8
129,박명현,3,3,9
130,정수재,3,3,10
131,박진길,3,4,1
132,최수명,3,4,2
133,정재수,3,4,3
134,정명석,3,4,4
135,이석명,3,4,5
136,김진석,3,4,6
137,최길재,3,4,7
138,김현현,3,4,8
139,김현수,3,4,9
140,정현현,3,4,10
141,박수재,3,5,1
142,박재진,3,5,2
143,정동명,3,5,3
144,정현수,3,5,4
145,김동진,3,5,5
146,김현명,3,5,6
147,정진길,3,5,7
148,최석수,3,5,8
149,정명현,3,5,9
150,김석재,3,5,10
